,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
275,Uglegorsk,0,RU,1555108840,58,49.08,142.06,43.11,3.94
276,San Pedro de Macoris,40,DO,1555108410,69,18.46,-69.3,82.4,8.05
277,Pitimbu,75,BR,1555106400,100,-7.47,-34.81,77.0,6.93
278,Bazpur,8,IN,1555108630,68,29.15,79.12,58.6,2.82
279,Vila Velha,40,BR,1555107493,78,-3.71,-38.6,82.4,12.75
280,Otavi,68,NA,1555108841,61,-19.64,17.34,66.33,6.62
281,San Roque,75,EC,1555106400,68,0.3,-78.23,68.0,14.99
282,Pilar de la Horadada,0,ES,1555108818,62,37.87,-0.79,57.2,3.36
283,Adrar,88,DZ,1555106400,17,27.87,-0.29,73.4,20.8
284,Matara,88,PE,1555108842,59,-13.74,-72.9,52.02,1.92
285,Chipinge,0,ZW,1555108842,94,-20.19,32.62,61.56,2.26
286,Flinders,36,AU,1555108649,72,-34.58,150.85,66.0,9.17
287,Bonthe,8,SL,1555108843,87,7.53,-12.5,80.37,4.61
288,Sanmenxia,92,CN,1555108843,95,34.77,111.19,50.76,2.93
289,Bukoba,0,TZ,1555108843,100,-1.33,31.81,67.77,3.15
290,Dordrecht,0,NL,1555108750,74,51.8,4.68,41.0,6.93
291,Killybegs,20,IE,1555108843,92,54.63,-8.45,45.27,20.71
292,Sycamore,90,US,1555108549,48,41.99,-88.69,50.0,21.92
293,Namibe,0,AO,1555108844,100,-15.19,12.15,75.6,9.75
294,Faya,0,SA,1555106400,72,18.39,42.45,60.8,10.29
295,Hasaki,20,JP,1555106400,65,35.73,140.83,44.6,5.82
296,Naze,68,NG,1555108844,94,5.43,7.07,75.69,3.38
297,Bilibino,48,RU,1555108844,69,68.06,166.44,25.3,3.15
298,Kinwat,20,IN,1555108844,68,19.62,78.2,70.02,2.82
299,Primo Tapia,20,MX,1555108749,59,32.22,-116.92,70.0,13.87
300,Shediac,75,CA,1555108269,39,46.22,-64.55,50.0,10.29
301,Leh,88,IN,1555108845,90,34.16,77.58,17.29,1.03
302,Srednekolymsk,0,RU,1555108845,74,67.46,153.71,28.0,3.04
